um,Gray,Droplet,Ref,Time
2.88883,44.497,6,out,4.010333333
3.24993,45.2589,6,out,4.010333333
3.61103,46.1169,6,out,4.010333333
3.97214,44.2308,6,out,4.010333333
4.33324,47.5444,6,out,4.010333333
4.69434,48.25,6,out,4.010333333
5.05545,46.2426,6,out,4.010333333
5.41655,45.1775,6,out,4.010333333
5.77765,43.429,6,out,4.010333333
6.13876,43.3595,6,out,4.010333333
6.49986,42.9956,6,out,4.010333333
6.86096,44.932,6,out,4.010333333
7.22207,39.1598,6,out,4.010333333
7.58317,22.9275,6,out,4.010333333
7.94427,6.7544,6,out,4.010333333
8.30538,0.5444,6,out,4.010333333
8.66648,0.0533,6,out,4.010333333
9.02758,0,6,out,4.010333333
9.38869,0.5,6,out,4.010333333
0,0,7,out,4.010333333
0.3611,0.8103,7,out,4.010333333
0.72221,9.2857,7,out,4.010333333
1.08331,26.8514,7,out,4.010333333
1.44441,37.1228,7,out,4.010333333
1.80552,41.197,7,out,4.010333333
2.16662,44.9896,7,out,4.010333333
2.52772,44.5882,7,out,4.010333333
2.88883,42.0251,7,out,4.010333333
3.24993,40.7952,7,out,4.010333333
3.61103,39.9708,7,out,4.010333333
3.97214,36.6172,7,out,4.010333333
4.33324,20.7351,7,out,4.010333333
4.69434,2.1503,7,out,4.010333333
5.05545,0,7,out,4.010333333
5.41655,0,7,out,4.010333333
5.77765,0,7,out,4.010333333
6.13876,0,7,out,4.010333333
0,2,8,out,4.010333333
0.3611,5.3016,8,out,4.010333333
0.72221,19.816,8,out,4.010333333
1.08331,42.1496,8,out,4.010333333
1.44441,54.984,8,out,4.010333333
1.80552,54.52,8,out,4.010333333
2.16662,48.9544,8,out,4.010333333
2.52772,52.1912,8,out,4.010333333
2.88883,50.3672,8,out,4.010333333
3.24993,53.1192,8,out,4.010333333
3.61103,55.24,8,out,4.010333333
3.97214,55.0464,8,out,4.010333333
4.33324,53.9184,8,out,4.010333333
4.69434,46.7952,8,out,4.010333333
5.05545,57.2232,8,out,4.010333333
5.41655,56.08,8,out,4.010333333
5.77765,54.3136,8,out,4.010333333
6.13876,52.348,8,out,4.010333333
6.49986,47.028,8,out,4.010333333
6.86096,47.216,8,out,4.010333333
7.22207,49.4,8,out,4.010333333
7.58317,37.4672,8,out,4.010333333
7.94427,28.7728,8,out,4.010333333
8.30538,8.1976,8,out,4.010333333
8.66648,1.0272,8,out,4.010333333
9.02758,0,8,out,4.010333333
0,0,9,out,4.010333333
0.3611,3.4953,9,out,4.010333333
0.72221,17.225,9,out,4.010333333
1.08331,40.7004,9,out,4.010333333
1.44441,51.0548,9,out,4.010333333
1.80552,53.7042,9,out,4.010333333
2.16662,56.0227,9,out,4.010333333
2.52772,56.5161,9,out,4.010333333
2.88883,54.1229,9,out,4.010333333
3.24993,52.2467,9,out,4.010333333
3.61103,55.1465,9,out,4.010333333
3.97214,54.3204,9,out,4.010333333
4.33324,49.1701,9,out,4.010333333
4.69434,47.9953,9,out,4.010333333
5.05545,52.2495,9,out,4.010333333
5.41655,51.9868,9,out,4.010333333
5.77765,53.0992,9,out,4.010333333
6.13876,53.8034,9,out,4.010333333
6.49986,50.8062,9,out,4.010333333
6.86096,34.8081,9,out,4.010333333
7.22207,13.1191,9,out,4.010333333
7.58317,2.2013,9,out,4.010333333
7.94427,0.3696,9,out,4.010333333
8.30538,0.00E+00,10,out,4.010333333
0,0.5,10,out,4.010333333
0.3611,0.898,10,out,4.010333333
0.72221,2.5986,10,out,4.010333333
1.08331,12.6939,10,out,4.010333333
1.44441,36.0952,10,out,4.010333333
1.80552,51.1088,10,out,4.010333333
2.16662,51.1633,10,out,4.010333333
2.52772,56.6667,10,out,4.010333333
2.88883,56.2415,10,out,4.010333333
3.24993,59.2041,10,out,4.010333333
3.61103,61.9966,10,out,4.010333333
3.97214,56.9388,10,out,4.010333333
4.33324,49.4796,10,out,4.010333333
4.69434,51.2381,10,out,4.010333333
5.05545,54.1667,10,out,4.010333333
5.41655,56.3061,10,out,4.010333333
5.77765,48.8571,10,out,4.010333333
6.13876,18.8299,10,out,4.010333333
6.49986,3.1735,10,out,4.010333333
6.86096,1.5238,10,out,4.010333333
7.22207,0,10,out,4.010333333
7.58317,0,10,out,4.010333333
0,0,11,out,4.010333333
0.3611,0.9444,11,out,4.010333333
0.72221,3.6296,11,out,4.010333333
