Time,Refuel_time,EDC,Cycle,value
69.98333333333333,50min,50mM,01,0.05969999999999999
70.15,50min,50mM,01,0.05950000000000001
70.31666666666666,50min,50mM,01,0.0596
70.48333333333333,50min,50mM,01,0.05969999999999999
70.65,50min,50mM,01,0.05969999999999999
70.81666666666666,50min,50mM,01,0.05969999999999999
70.98333333333333,50min,50mM,01,0.059800000000000006
71.15,50min,50mM,01,0.05950000000000001
71.31666666666666,50min,50mM,01,0.0596
71.48333333333333,50min,50mM,01,0.0596
71.63333333333333,50min,50mM,01,0.05969999999999999
71.8,50min,50mM,01,0.06000000000000001
71.96666666666667,50min,50mM,01,0.059899999999999995
72.13333333333333,50min,50mM,01,0.059800000000000006
72.3,50min,50mM,01,0.0596
72.46666666666667,50min,50mM,01,0.06000000000000001
72.63333333333333,50min,50mM,01,0.05969999999999999
72.8,50min,50mM,01,0.059800000000000006
72.95,50min,50mM,01,0.0596
73.11666666666667,50min,50mM,01,0.06000000000000001
73.28333333333333,50min,50mM,01,0.059899999999999995
73.45,50min,50mM,01,0.059800000000000006
73.61666666666667,50min,50mM,01,0.059800000000000006
73.78333333333333,50min,50mM,01,0.059800000000000006
73.95,50min,50mM,01,0.059899999999999995
74.11666666666667,50min,50mM,01,0.059800000000000006
74.28333333333333,50min,50mM,01,0.05969999999999999
74.45,50min,50mM,01,0.059800000000000006
74.61666666666667,50min,50mM,01,0.059800000000000006
74.78333333333333,50min,50mM,01,0.059800000000000006
74.93333333333334,50min,50mM,01,0.059800000000000006
75.1,50min,50mM,01,0.059800000000000006
75.26666666666667,50min,50mM,01,0.059800000000000006
75.43333333333334,50min,50mM,01,0.059800000000000006
75.6,50min,50mM,01,0.059800000000000006
75.76666666666667,50min,50mM,01,0.059899999999999995
75.93333333333334,50min,50mM,01,0.059800000000000006
76.1,50min,50mM,01,0.05969999999999999
76.26666666666667,50min,50mM,01,0.06000000000000001
76.43333333333334,50min,50mM,01,0.06000000000000001
76.6,50min,50mM,01,0.06000000000000001
76.76666666666667,50min,50mM,01,0.06000000000000001
76.93333333333334,50min,50mM,01,0.06000000000000001
77.1,50min,50mM,01,0.059800000000000006
77.25,50min,50mM,01,0.06019999999999999
77.41666666666667,50min,50mM,01,0.06000000000000001
77.58333333333333,50min,50mM,01,0.059899999999999995
77.75,50min,50mM,01,0.059800000000000006
77.91666666666667,50min,50mM,01,0.059899999999999995
78.08333333333333,50min,50mM,01,0.06000000000000001
78.25,50min,50mM,01,0.059899999999999995
78.41666666666667,50min,50mM,01,0.06000000000000001
78.58333333333333,50min,50mM,01,0.06000000000000001
78.75,50min,50mM,01,0.059899999999999995
78.91666666666667,50min,50mM,01,0.059899999999999995
79.08333333333333,50min,50mM,01,0.06000000000000001
79.23333333333333,50min,50mM,01,0.0601
79.4,50min,50mM,01,0.0601
79.56666666666666,50min,50mM,01,0.059899999999999995
79.73333333333333,50min,50mM,01,0.06019999999999999
79.9,50min,50mM,01,0.06000000000000001
80.06666666666666,50min,50mM,01,0.059800000000000006
80.23333333333333,50min,50mM,01,0.06000000000000001
80.4,50min,50mM,01,0.059800000000000006
80.56666666666666,50min,50mM,01,0.06000000000000001
