Time,Azide_1,Azide_2,Type,value
8.416666666666666,kArg,kArg,Click,0.9549
8.583333333333334,kArg,kArg,Click,0.9483
8.75,kArg,kArg,Click,0.9435000000000001
8.916666666666666,kArg,kArg,Click,0.9455000000000001
9.083333333333334,kArg,kArg,Click,0.9256000000000001
9.25,kArg,kArg,Click,0.9150999999999999
9.416666666666666,kArg,kArg,Click,0.9079
9.566666666666666,kArg,kArg,Click,0.8947
9.733333333333333,kArg,kArg,Click,0.8783
9.9,kArg,kArg,Click,0.8662
10.066666666666666,kArg,kArg,Click,0.8603000000000001
10.233333333333333,kArg,kArg,Click,0.8514
10.4,kArg,kArg,Click,0.8412000000000001
10.566666666666666,kArg,kArg,Click,0.8330000000000001
10.733333333333333,kArg,kArg,Click,0.8279
10.9,kArg,kArg,Click,0.8213
11.066666666666666,kArg,kArg,Click,0.8039000000000001
11.233333333333333,kArg,kArg,Click,0.8005
11.4,kArg,kArg,Click,0.7822
11.55,kArg,kArg,Click,0.7765
11.716666666666667,kArg,kArg,Click,0.7687
11.883333333333333,kArg,kArg,Click,0.7649
12.05,kArg,kArg,Click,0.7491
12.216666666666667,kArg,kArg,Click,0.742
12.383333333333333,kArg,kArg,Click,0.7321
12.55,kArg,kArg,Click,0.7294
12.716666666666667,kArg,kArg,Click,0.7118
12.883333333333333,kArg,kArg,Click,0.7043
13.05,kArg,kArg,Click,0.6924
13.216666666666667,kArg,kArg,Click,0.6816
13.383333333333333,kArg,kArg,Click,0.6753
13.55,kArg,kArg,Click,0.6626
13.7,kArg,kArg,Click,0.6465000000000001
13.866666666666667,kArg,kArg,Click,0.6378
14.033333333333333,kArg,kArg,Click,0.6354000000000001
14.2,kArg,kArg,Click,0.6315000000000001
14.366666666666667,kArg,kArg,Click,0.6146
14.533333333333333,kArg,kArg,Click,0.6032000000000001
14.7,kArg,kArg,Click,0.5932000000000001
14.866666666666667,kArg,kArg,Click,0.5796
15.033333333333333,kArg,kArg,Click,0.5661
15.2,kArg,kArg,Click,0.5542
15.366666666666667,kArg,kArg,Click,0.5394
15.516666666666667,kArg,kArg,Click,0.5301
15.683333333333334,kArg,kArg,Click,0.5117
15.85,kArg,kArg,Click,0.4978
16.016666666666666,kArg,kArg,Click,0.48919999999999997
16.183333333333334,kArg,kArg,Click,0.4862000000000001
16.35,kArg,kArg,Click,0.4658
16.516666666666666,kArg,kArg,Click,0.45489999999999997
16.683333333333334,kArg,kArg,Click,0.4406
16.85,kArg,kArg,Click,0.4395
17.016666666666666,kArg,kArg,Click,0.42110000000000003
17.183333333333334,kArg,kArg,Click,0.41700000000000004
17.35,kArg,kArg,Click,0.3994
17.5,kArg,kArg,Click,0.39890000000000003
17.666666666666668,kArg,kArg,Click,0.38170000000000004
17.833333333333332,kArg,kArg,Click,0.37739999999999996
18.0,kArg,kArg,Click,0.36119999999999997
18.166666666666668,kArg,kArg,Click,0.35440000000000005
18.333333333333332,kArg,kArg,Click,0.34529999999999994
18.5,kArg,kArg,Click,0.205
18.666666666666668,kArg,kArg,Click,0.18910000000000002
18.833333333333332,kArg,kArg,Click,0.17400000000000002
19.0,kArg,kArg,Click,0.1621
19.166666666666668,kArg,kArg,Click,0.15259999999999999
19.333333333333332,kArg,kArg,Click,0.14129999999999998
19.483333333333334,kArg,kArg,Click,0.133
19.65,kArg,kArg,Click,0.1266
19.816666666666666,kArg,kArg,Click,0.11979999999999999
19.983333333333334,kArg,kArg,Click,0.11410000000000001
20.15,kArg,kArg,Click,0.10880000000000001
20.316666666666666,kArg,kArg,Click,0.10239999999999999
20.483333333333334,kArg,kArg,Click,0.09709999999999999
20.65,kArg,kArg,Click,0.09209999999999999
20.816666666666666,kArg,kArg,Click,0.08659999999999998
20.983333333333334,kArg,kArg,Click,0.08179999999999998
21.15,kArg,kArg,Click,0.0769
21.316666666666666,kArg,kArg,Click,0.07269999999999999
21.466666666666665,kArg,kArg,Click,0.0676
21.633333333333333,kArg,kArg,Click,0.06520000000000001
21.8,kArg,kArg,Click,0.06109999999999999
21.966666666666665,kArg,kArg,Click,0.058499999999999996
22.133333333333333,kArg,kArg,Click,0.05559999999999998
22.3,kArg,kArg,Click,0.05310000000000001
22.466666666666665,kArg,kArg,Click,0.050600000000000006
22.633333333333333,kArg,kArg,Click,0.04869999999999999
22.8,kArg,kArg,Click,0.045899999999999996
22.966666666666665,kArg,kArg,Click,0.044800000000000006
23.133333333333333,kArg,kArg,Click,0.04269999999999999
23.3,kArg,kArg,Click,0.04199999999999998
23.45,kArg,kArg,Click,0.04050000000000001
23.616666666666667,kArg,kArg,Click,0.0398
23.783333333333335,kArg,kArg,Click,0.038000000000000006
23.95,kArg,kArg,Click,0.0378
24.116666666666667,kArg,kArg,Click,0.036000000000000004
24.283333333333335,kArg,kArg,Click,0.03609999999999999
24.45,kArg,kArg,Click,0.035
24.616666666666667,kArg,kArg,Click,0.03509999999999999
24.783333333333335,kArg,kArg,Click,0.034399999999999986
24.95,kArg,kArg,Click,0.0343
25.116666666666667,kArg,kArg,Click,0.033899999999999986
25.283333333333335,kArg,kArg,Click,0.0335
25.433333333333334,kArg,kArg,Click,0.032799999999999996
25.6,kArg,kArg,Click,0.032799999999999996
25.766666666666666,kArg,kArg,Click,0.032399999999999984
25.933333333333334,kArg,kArg,Click,0.032299999999999995
26.1,kArg,kArg,Click,0.031200000000000006
26.266666666666666,kArg,kArg,Click,0.032
26.433333333333334,kArg,kArg,Click,0.031
26.6,kArg,kArg,Click,0.031799999999999995
26.766666666666666,kArg,kArg,Click,0.030799999999999994
26.933333333333334,kArg,kArg,Click,0.031299999999999994
